1,The “Medium” Articles,"First, here is the link.
Thank you to Brian Gwaltney for doing this. The clarity he gives to my blogs is excellent. Some of the articles have a “new life” due to his work. I will be writing a few original pieces there that I will link back to here."
2,LB Handout,Long Beach Workshop 2018 PB.compressed
3,one,Workshop 2018 Prov Ed.compressed
4,A great article on aging and exercise.,"Lou!!!
Great stuff here."
5,New Interview with Joe,Another new interview!
6,The “Medium” Articles,"First, here is the link.
Thank you to Brian Gwaltney for doing this. The clarity he gives to my blogs is excellent. Some of the articles have a “new life” due to his work. I will be writing a few original pieces there that I will link back to here."
7,LB Handout,Long Beach Workshop 2018 PB.compressed
8,one,Workshop 2018 Prov Ed.compressed
9,A great article on aging and exercise.,"Lou!!!
Great stuff here."
10,New Interview with Joe,Another new interview!
